"","Site","Sample_ID","Replica","Season.x","Sampling_gear","Sub.replica","Nb_particules","ID_particle","Shape","Color","IR_ID","Weight_mg","Length_mm","Largeur_mm","Area","Perim","L","H","W","CSF","Spher","Shapes","Code_station","Replicate","Season.y","Volume","Debit..m3.s.","NTU","river","IR_ID_bis","Flood","Sampling_event"
"92","GSG","11-2-C",2,"C","FILET","A",21,"39-H4",5,"Red","PS",1.606,3.214,3.157,7.941,10.121,3.214,3.157,3.1855,0.986649365581978,0.991106099323505,"sphere","GSG",2,"C",54.17412,174,6.8,"Garonne","PS","No","B1"
"93","GSG","11-2-C",2,"C","FILET","A",21,"39-H5",5,"Red","PS",1.97,3.876,3.833,11.415,12.111,3.876,3.833,3.8545,0.991660261111806,0.99444273082155,"sphere","GSG",2,"C",54.17412,174,6.8,"Garonne","PS","No","B1"
"94","GSG","11-2-C",2,"C","FILET","A",21,"39-H6",5,"Red","PS",2.645,4.298,3.979,12.673,12.849,4.298,3.979,4.1385,0.943450792886459,0.96241272984923,"sphere","GSG",2,"C",54.17412,174,6.8,"Garonne","PS","No","B1"
"95","GSG","11-2-C",2,"C","FILET","A",21,"39-H7",5,"Red","PS",4.707,2.886,2.832,6.445,9.168,2.886,2.832,2.859,0.985911671534521,0.990615039057404,"sphere","GSG",2,"C",54.17412,174,6.8,"Garonne","PS","No","B1"
"96","GSG","11-2-C",2,"C","FILET","A",21,"39-H8",5,"Red","PS",2.352,2.958,2.746,6.382,9.214,2.958,2.746,2.852,0.945424140670315,0.963720812834528,"sphere","GSG",2,"C",54.17412,174,6.8,"Garonne","PS","No","B1"
"97","GSG","11-2-C",2,"C","FILET","A",21,"39-H9",5,"Red","PS",1.88,2.898,2.697,6.762,9.551,2.898,2.697,2.7975,0.947210946340999,0.964905450874426,"sphere","GSG",2,"C",54.17412,174,6.8,"Garonne","PS","No","B1"
"98","GSG","11-2-C",2,"C","FILET","A",21,"39-H10",5,"Red","PS",1.567,3.243,3.199,9.053,11.052,3.243,3.199,3.221,0.989795336661931,0.993200712690931,"sphere","GSG",2,"C",54.17412,174,6.8,"Garonne","PS","No","B1"
"99","GSG","11-2-C",2,"C","FILET","A",21,"39-H11",5,"Red","PS",3.525,3.073,2.198,4.994,8.403,3.073,2.198,2.6355,0.772351328113017,0.849679609120218,"sphere","GSG",2,"C",54.17412,174,6.8,"Garonne","PS","No","B1"
"100","GSG","11-2-C",2,"C","FILET","A",21,"39-H12",5,"White","PS",0.445,1.452,0.995,0.905,3.678,1.452,0.995,1.2235,0.746513705886536,0.832717977213606,"sphere","GSG",2,"C",54.17412,174,6.8,"Garonne","PS","No","B1"
"101","GSG","11-2-C",2,"C","FILET","A",21,"40-A1",3,"Grey","PS",0.04,1.973,0.82,0.922,5.399,1.973,0.82,0.33,1.01623310817196,0.411172954510613,"fragment","GSG",2,"C",54.17412,174,6.8,"Garonne","PS","No","B1"
"102","GSG","11-2-C",2,"C","FILET","A",21,"40-A7",5,"Red","PS",1.881,4.588,2.421,8.366,12.311,4.588,2.421,3.5045,0.603767946046337,0.738682842592198,"sphere","GSG",2,"C",54.17412,174,6.8,"Garonne","PS","No","B1"
"103","GSG","11-2-C",2,"C","FILET","A",21,"40-A8",3,"White","PS",0.477,0.903,0.761,0.67,3.563,0.903,0.761,0.33,1.39406752920453,0.675317025133637,"fragment","GSG",2,"C",54.17412,174,6.8,"Garonne","PS","No","B1"
"104","GSG","11-2-C",2,"C","FILET","A",21,"40-A10",5,"Red","PS",2.4,1.499,1.091,0.992,3.982,1.499,1.091,1.295,0.783049199554677,0.856703256550752,"sphere","GSG",2,"C",54.17412,174,6.8,"Garonne","PS","No","B1"
"105","MUG","6-3-C",3,"C","FILET","G",2,"40-D8",3,"Grey","PS",0.049,1.424,0.529,0.52,3.52,1.424,0.529,0.33,0.77169148368977,0.441553377513787,"fragment","MUG",3,"C",174.52224,198,4.8,"Garonne","PS","No","B1"
"106","MUG","6-3-C",3,"C","FILET","G",2,"40-D9",3,"Grey","PS",0.044,3.184,1.744,3.63,8.092,3.184,1.744,0.33,1.70138649467537,0.384330426137392,"fragment","MUG",3,"C",174.52224,198,4.8,"Garonne","PS","No","B1"
"107","GSG","11-3-D",3,"D","FILET","A",4,"41-F12",3,"Black","PE",1.089,1.837,0.44,0.449,3.863,1.837,0.44,0.33,0.565120586640683,0.350415064101829,"fragment","GSG",3,"D",66.28224,80.1,5.9,"Garonne","PE","No","B6"
